# PicoScope Waveform
# Sampling Rate (Hz),9708
# X Axis Min,1500.0
# X Axis Max,9500.0
# Y Axis Min,0.0
# Y Axis Max,3.31

Sample,Voltage (V)
913,1.921978021978022
914,1.921978021978022
915,1.9227838827838826
916,1.9243956043956043
917,1.9243956043956043
918,1.9243956043956043
919,1.926007326007326
920,1.926007326007326
921,1.9268131868131866
922,1.9276190476190476
923,1.9276190476190476
924,1.9284249084249083
925,1.9284249084249083
926,1.93003663003663
927,1.93003663003663
928,1.929230769230769
929,1.9316483516483516
930,1.9308424908424906
931,1.9316483516483516
932,1.9316483516483516
933,1.9316483516483516
934,1.9324542124542123
935,1.9316483516483516
936,1.9332600732600733
937,1.934065934065934
938,1.934065934065934
939,1.934065934065934
940,1.9348717948717946
941,1.9332600732600733
942,1.9356776556776556
943,1.9372893772893773
944,1.9372893772893773
945,1.9372893772893773
946,1.9372893772893773
947,1.938095238095238
948,1.9389010989010986
949,1.9389010989010986
950,1.9397069597069596
951,1.9389010989010986
952,1.9397069597069596
953,1.9405128205128204
954,1.9413186813186813
955,1.9413186813186813
956,1.9413186813186813
957,1.9429304029304026
958,1.9429304029304026
959,1.9429304029304026
960,1.9429304029304026
961,1.9437362637362636
962,1.9437362637362636
963,1.9445421245421244
964,1.9445421245421244
965,1.9453479853479854
966,1.9461538461538461
967,1.9469597069597069
968,1.9477655677655676
969,1.9469597069597069
970,1.9477655677655676
971,1.9485714285714284
972,1.9493772893772894
973,1.950989010989011
974,1.9501831501831501
975,1.955018315018315
976,1.9517948717948717
977,1.9517948717948717
978,1.9526007326007324
979,1.9542124542124542
980,1.9542124542124542
981,1.955018315018315
982,1.955018315018315
983,1.9566300366300367
984,1.955018315018315
985,1.9566300366300367
986,1.9566300366300367
987,1.9574358974358974
988,1.9582417582417582
989,1.9582417582417582
990,1.9598534798534797
991,1.9582417582417582
992,1.9606593406593407
993,1.9606593406593407
994,1.9622710622710622
995,1.9614652014652014
996,1.963076923076923
997,1.9638827838827837
998,1.9646886446886447
999,1.9663003663003662
1000,0.02659340659340659
1001,0.025787545787545788
1002,0.025787545787545788
1003,0.025787545787545788
1004,0.025787545787545788
1005,0.025787545787545788
1006,0.025787545787545788
1007,0.025787545787545788
1008,0.02498168498168498
1009,0.025787545787545788
1010,0.02498168498168498
1011,0.02498168498168498
1012,0.02498168498168498
1013,0.024175824175824177
1014,0.02498168498168498
1015,0.02498168498168498
1016,0.024175824175824177
1017,0.024175824175824177
1018,0.024175824175824177
1019,0.023369963369963366
1020,0.023369963369963366
1021,0.023369963369963366
1022,0.023369963369963366
1023,0.022564102564102562
1024,0.023369963369963366
1025,0.022564102564102562
1026,0.022564102564102562
